Cities,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sisimiut,44,GL,1521498599,86,66.94,-53.67,14.48,1.61
1,rikitea,48,PF,1521498600,100,-23.12,-134.97,80.09,15.48
2,alindao,76,CF,1521498600,82,5.04,21.21,74.06,4.74
3,jamestown,48,AU,1521498606,95,-33.21,138.6,62.54,9.66
4,leshukonskoye,36,RU,1521498607,64,64.9,45.76,3.05,5.19
5,blanquefort,90,FR,1521496800,93,44.91,-0.64,37.4,10.29
6,zelenoborsk,48,RU,1521498608,69,61.47,64.05,18.62,10.78
7,koslan,76,RU,1521498609,81,63.46,48.9,17.54,5.41
8,cape town,0,ZA,1521496800,82,-33.93,18.42,60.8,11.41
9,qaanaaq,0,GL,1521498610,98,77.48,-69.36,-17.21,11.23
10,hermanus,0,ZA,1521498610,99,-34.42,19.24,48.5,2.95
11,san patricio,8,PY,1521498611,67,-26.98,-56.83,71.9,5.19
12,puerto ayora,40,EC,1521496800,66,-0.74,-90.35,86.0,11.41
13,vaini,68,IN,1521498612,82,15.34,74.49,69.65,2.28
14,kirakira,76,SB,1521498613,100,-10.46,161.92,80.9,4.29
15,kapaa,90,US,1521496560,69,22.08,-159.32,73.4,18.34
16,beringovskiy,80,RU,1521498614,100,63.05,179.32,7.64,6.2
17,ushuaia,75,AR,1521496800,80,-54.81,-68.31,41.0,32.21
18,tuktoyaktuk,64,CA,1521496800,95,69.44,-133.03,-4.01,9.17
19,esperance,20,TT,1521496800,57,10.24,-61.45,80.6,12.75
20,mataura,32,NZ,1521498616,59,-46.19,168.86,76.94,21.52
21,itarema,12,BR,1521498617,81,-2.92,-39.92,79.64,9.22
22,hobart,40,AU,1521496800,50,-42.88,147.33,53.6,10.29
23,port elizabeth,90,US,1521496560,69,39.31,-74.98,51.8,11.41
24,georgetown,40,GY,1521496800,69,6.8,-58.16,80.6,13.87
25,hambantota,20,LK,1521498620,100,6.12,81.12,78.38,6.98
26,klaksvik,80,FO,1521498000,86,62.23,-6.59,39.2,8.05
27,castro,0,CL,1521498621,89,-42.48,-73.76,46.34,6.64
28,tiksi,0,RU,1521498622,52,71.64,128.87,-31.07,2.73
29,gloversville,1,US,1521496380,31,43.05,-74.34,33.8,19.46
30,puqi,92,CN,1521498489,100,29.72,113.88,46.25,14.25
31,leningradskiy,68,RU,1521498623,95,69.38,178.42,-7.67,13.69
32,saskylakh,0,RU,1521498624,35,71.97,114.09,-23.96,6.42
33,tilichiki,0,RU,1521498624,76,60.47,166.1,7.55,3.96
34,bandarbeyla,36,SO,1521498626,100,9.49,50.81,78.02,13.47
35,fairbanks,90,US,1521496680,68,64.84,-147.72,32.0,14.99
36,mar del plata,0,AR,1521498627,67,-46.43,-67.52,46.7,14.58
37,albany,1,US,1521496440,29,42.65,-73.75,33.8,11.41
38,grass valley,1,US,1521496800,28,39.22,-121.06,64.4,5.82
39,viedma,12,AR,1521498628,38,-40.81,-62.99,62.54,9.22
40,moron,40,VE,1521496800,52,10.49,-68.2,87.8,3.36
41,charyshskoye,0,RU,1521498629,80,51.4,83.56,22.22,8.77
42,half moon bay,1,US,1521496920,44,37.46,-122.43,68.0,9.17
43,lorengau,32,PG,1521498630,91,-2.02,147.27,85.22,13.58
44,bluff,0,AU,1521498631,58,-23.58,149.07,85.22,11.34
45,lebu,24,ET,1521498631,75,8.96,38.73,50.48,2.95
46,baruun-urt,0,MN,1521498632,58,46.68,113.28,22.04,4.41
47,punta arenas,40,CL,1521496800,97,-53.16,-70.91,44.6,21.92
48,alofi,88,NU,1521498633,100,-19.06,-169.92,82.43,2.62
49,altay,64,CN,1521498634,60,47.83,88.13,12.05,2.28
50,kimbe,92,PG,1521498634,100,-5.56,150.15,77.21,6.42
51,coihaique,20,CL,1521496800,65,-45.58,-72.07,44.6,4.7
52,ucluelet,90,CA,1521493200,70,48.94,-125.55,48.2,10.29
53,narsaq,36,GL,1521496200,42,60.91,-46.05,44.6,20.8
54,caravelas,0,BR,1521498636,100,-17.73,-39.27,81.62,16.6
55,guerrero negro,0,MX,1521498637,37,27.97,-114.04,73.25,9.33
56,bathsheba,20,BB,1521496800,74,13.22,-59.52,78.8,11.41
57,iqaluit,90,CA,1521496800,85,63.75,-68.52,10.4,21.92
58,charters towers,92,AU,1521498377,93,-20.07,146.27,73.79,7.65
59,mahebourg,75,MU,1521496800,88,-20.41,57.7,78.8,5.82
60,carnarvon,0,ZA,1521498639,39,-30.97,22.13,52.28,5.19
61,new norfolk,40,AU,1521496800,50,-42.78,147.06,53.6,10.29
62,fortuna,20,ES,1521496800,57,38.18,-1.13,55.4,11.41
63,mehtar lam,75,AF,1521496560,63,34.67,70.21,60.8,1.72
64,bad durkheim,1,DE,1521496560,73,49.47,8.17,28.4,5.82
65,port alfred,0,ZA,1521498642,99,-33.59,26.89,62.27,5.75
66,leh,36,IN,1521498643,85,34.16,77.58,-16.04,1.95
67,seabra,32,BR,1521498643,94,-12.42,-41.77,65.42,2.39
68,dikson,80,RU,1521498644,100,73.51,80.55,-2.18,35.84
69,veraval,90,FR,1521496800,93,49.65,0.71,33.8,11.41
70,khandagayty,12,MN,1521498645,61,50.73,92.07,3.32,2.62
71,yellowknife,75,CA,1521493200,54,62.45,-114.38,28.4,3.36
72,busselton,0,AU,1521498646,100,-33.64,115.35,69.02,21.74
73,quatis,12,BR,1521498647,90,-22.41,-44.26,66.23,2.06
74,atuona,68,PF,1521498647,100,-9.8,-139.03,81.08,14.81
75,arraial do cabo,0,BR,1521493200,66,-22.97,-42.02,89.6,17.22
76,colares,0,PT,1521496800,66,38.8,-9.45,50.0,11.41
77,lovozero,44,RU,1521498648,76,68.01,35.02,6.65,3.62
78,lasa,75,CY,1521496800,82,34.92,32.53,64.4,5.82
79,clyde river,20,CA,1521496800,62,70.47,-68.59,-13.01,5.82
80,lompoc,1,US,1521496560,28,34.64,-120.46,68.0,9.17
81,faanui,56,PF,1521498650,100,-16.48,-151.75,81.35,20.85
82,norman wells,75,CA,1521493200,67,65.28,-126.83,21.2,8.05
83,ribeira grande,88,PT,1521498651,96,38.52,-28.7,63.62,15.03
84,lakatoro,24,VU,1521498651,81,-16.11,167.42,85.13,3.74
85,shahreza,0,IR,1521498652,52,32.01,51.87,24.65,4.07
86,tual,32,ID,1521498652,100,-5.67,132.75,81.98,7.99
87,lowestoft,76,GB,1521496200,74,52.48,1.75,37.4,13.87
88,miajadas,0,ES,1521498654,79,39.15,-5.91,37.34,10.67
89,bubaque,8,GW,1521496800,69,11.28,-15.83,78.8,5.82
90,savannah bight,0,HN,1521498655,91,16.45,-85.85,81.98,22.86
91,omboue,92,GA,1521498656,100,-1.57,9.26,82.25,5.19
92,provideniya,80,RU,1521498656,100,64.42,-173.23,17.9,0.6
93,saldanha,44,PT,1521498657,73,41.42,-6.55,37.88,13.24
94,salalah,0,OM,1521496200,56,17.01,54.1,73.4,3.36
95,nabire,0,ID,1521498658,78,-3.36,135.5,76.04,0.83
96,behshahr,0,IR,1521496800,81,36.69,53.54,48.2,6.93
97,trige,0,DK,1521496200,93,56.25,10.15,35.6,12.75
98,torbay,90,CA,1521493200,86,47.66,-52.73,26.6,18.34
99,whitehorse,90,CA,1521496800,69,60.72,-135.06,35.6,9.17
100,avarua,40,CK,1521496800,74,-21.21,-159.78,86.0,6.93
101,cherskiy,8,RU,1521498660,65,68.75,161.3,-8.39,5.08
102,edeia,0,BR,1521498661,92,-17.34,-49.93,73.52,2.62
103,comodoro rivadavia,40,AR,1521496800,81,-45.87,-67.48,42.8,11.41
104,esmeraldas,0,BR,1521496800,61,-19.76,-44.31,82.4,8.05
105,egvekinot,32,RU,1521498662,71,66.32,-179.17,-6.77,3.4
106,vila franca do campo,75,PT,1521496800,93,37.72,-25.43,62.6,2.24
107,kulhudhuffushi,8,MV,1521498663,100,6.62,73.07,83.42,11.34
108,verkhnevilyuysk,56,RU,1521498664,75,63.45,120.31,2.96,2.62
109,eureka,1,US,1521496500,58,40.8,-124.16,57.2,10.29
110,lethem,0,GY,1521498666,36,3.38,-59.8,90.08,12.46
111,cap-aux-meules,90,CA,1521496800,79,47.38,-61.86,24.8,18.34
112,husavik,76,CA,1521498666,93,50.56,-96.99,23.57,4.85
113,ixtapa,5,MX,1521496020,78,20.71,-105.21,77.0,13.87
114,samarai,92,PG,1521498667,100,-10.62,150.67,78.92,11.45
115,cayenne,75,GF,1521496800,94,4.94,-52.33,77.0,3.36
116,hasaki,75,JP,1521496800,93,35.73,140.83,46.4,17.22
117,dingle,12,PH,1521498669,79,11.0,122.67,80.18,6.76
118,acapulco,75,MX,1521496140,78,16.86,-99.88,80.6,6.93
119,antofagasta,20,CL,1521496800,68,-23.65,-70.4,64.4,16.11
120,ostrovnoy,24,RU,1521498670,81,68.05,39.51,3.14,5.19
121,east london,0,ZA,1521498671,100,-33.02,27.91,68.21,7.43
122,hithadhoo,64,MV,1521498671,100,-0.6,73.08,84.05,10.67
123,palmer,75,AU,1521496800,59,-34.85,139.16,62.6,12.75
124,guarapari,0,BR,1521496800,78,-20.67,-40.5,80.6,16.11
125,hilo,90,US,1521497220,94,19.71,-155.08,71.6,8.05
126,wexford,1,US,1521496560,31,40.63,-80.06,53.6,6.93
127,kihei,75,US,1521496560,73,20.76,-156.45,75.2,21.92
128,rurrenabaque,40,BO,1521496800,79,-14.44,-67.53,87.8,4.7
129,keetmanshoop,0,NA,1521496800,13,-26.57,18.15,75.2,5.75
130,khatanga,44,RU,1521498675,69,71.98,102.47,-10.01,15.26
131,ust-maya,36,RU,1521498675,62,60.42,134.54,-7.76,4.63
132,luderitz,0,NA,1521496800,82,-26.65,15.16,60.8,11.41
133,ancud,88,CL,1521498385,94,-41.87,-73.83,56.24,7.2
134,meulaboh,48,ID,1521498677,100,4.14,96.13,77.57,2.62
135,butaritari,64,KI,1521498678,100,3.07,172.79,82.34,8.66
136,yenagoa,64,NG,1521498678,79,4.92,6.26,79.1,5.97
137,iberia,24,PE,1521498679,71,-11.41,-69.49,83.42,0.6
138,yumen,64,CN,1521498679,69,40.29,97.04,28.52,1.61
139,kachug,0,RU,1521498680,71,53.96,105.89,21.68,6.53
140,plouzane,90,FR,1521496800,74,48.38,-4.62,37.4,18.34
141,kununurra,90,AU,1521497940,94,-15.77,128.74,80.6,4.7
142,upernavik,20,GL,1521498682,100,72.79,-56.15,-2.27,10.45
143,bethel,75,US,1521496380,88,60.79,-161.76,32.0,25.28
144,ahipara,56,NZ,1521498684,78,-35.17,173.16,72.53,13.24
145,marabba,0,SD,1521498685,43,12.35,32.18,62.27,2.84
146,santa maria del oro,0,MX,1521498685,12,25.95,-105.37,71.9,9.55
147,cidreira,12,BR,1521498686,87,-30.17,-50.22,64.88,5.41
148,talnakh,88,RU,1521498686,89,69.49,88.39,27.44,22.3
149,borovichi,88,RU,1521498687,90,58.39,33.91,29.33,14.81
150,iskateley,20,RU,1521498687,52,67.68,53.15,-18.29,3.29
151,giyani,44,ZA,1521498687,91,-23.32,30.73,63.08,2.62
152,barrow,0,AR,1521498630,50,-38.31,-60.23,59.57,7.54
153,george,20,NG,1521493200,88,6.63,3.35,82.4,5.82
154,pau brasil,12,BR,1521498689,78,-15.46,-39.65,75.95,8.66
155,port hardy,75,CA,1521493200,65,50.7,-127.42,46.4,4.7
156,neiafu,75,TO,1521496800,83,-18.65,-173.98,80.6,5.82
157,bocas del toro,0,PA,1521498691,100,9.33,-82.25,78.74,3.85
158,lao cai,48,VN,1521498691,95,22.48,103.95,59.84,1.95
159,pathein,0,MM,1521498692,89,16.78,94.73,73.97,7.99
160,katsuura,75,JP,1521497400,100,33.93,134.5,46.4,26.4
161,pevek,24,RU,1521498693,87,69.7,170.27,-9.83,7.43
162,ibirama,92,BR,1521498694,100,-27.05,-49.52,69.56,1.28
163,santa vitoria do palmar,0,BR,1521498694,85,-33.52,-53.37,62.18,9.44
164,bredasdorp,0,ZA,1521496800,82,-34.53,20.04,55.4,5.82
165,permet,92,AL,1521498695,100,40.23,20.35,39.95,1.95
166,komatipoort,64,MZ,1521498696,94,-25.43,31.96,68.75,11.12
167,opichen,75,MX,1521495900,24,20.55,-89.85,100.4,13.87
168,vanavara,0,RU,1521498697,89,60.35,102.28,22.04,6.76
169,puerto el triunfo,0,SV,1521496200,28,13.27,-88.55,95.0,9.17
170,catabola,36,AO,1521498698,89,-12.14,17.29,63.44,4.63
171,ouahigouya,0,BF,1521498699,54,13.58,-2.42,72.44,3.06
172,chuy,0,UY,1521498699,85,-33.69,-53.46,62.18,9.44
173,nizwa,0,OM,1521498700,77,22.93,57.53,50.57,2.73
174,cabedelo,0,BR,1521496800,69,-6.97,-34.84,80.6,6.93
175,nuuk,20,GL,1521496200,60,64.17,-51.74,39.2,3.36
176,mariara,40,VE,1521496800,52,10.28,-67.69,87.8,3.36
177,boende,80,CD,1521498701,89,-0.28,20.88,75.05,2.28
178,misratah,68,LY,1521498702,94,32.38,15.09,57.59,6.53
179,cervo,48,BR,1521498702,86,-22.19,-46.24,69.29,0.94
180,dudinka,88,RU,1521498704,92,69.41,86.18,28.52,24.32
181,verkhnyaya inta,68,RU,1521498704,80,65.99,60.32,-4.97,2.39
182,whitianga,92,NZ,1521498704,100,-36.83,175.7,69.02,17.83
183,kodiak,90,US,1521496380,64,39.95,-94.76,51.8,18.34
184,tabou,68,CI,1521498706,100,4.42,-7.36,81.44,10.0
185,mikumi,68,TZ,1521498706,96,-7.4,36.98,65.6,2.39
186,bahia de caraquez,40,EC,1521496800,83,-0.6,-80.42,80.6,9.17
187,shanghai,75,CN,1521496800,81,31.23,121.49,46.4,11.18
188,mudgee,8,AU,1521498707,77,-32.6,149.59,71.09,4.63
189,borskoye,92,RU,1521498708,85,53.03,51.7,10.7,4.74
190,college,90,US,1521496680,68,64.86,-147.8,32.0,14.99
191,ponta do sol,56,BR,1521498709,81,-20.63,-46.0,71.9,1.39
192,bavly,76,RU,1521498709,80,54.4,53.24,6.02,3.74
193,berlevag,40,NO,1521496200,85,70.86,29.09,15.8,4.7
194,port lincoln,32,AU,1521498710,88,-34.72,135.86,65.24,15.37
195,tasiilaq,88,GL,1521496200,94,65.61,-37.64,37.4,13.87
196,pandan,80,PH,1521498711,100,11.72,122.09,80.81,10.89
197,severo-kurilsk,20,RU,1521498712,100,50.68,156.12,28.43,16.82
198,ilulissat,12,GL,1521496200,92,69.22,-51.1,15.8,6.93
199,portland,20,US,1521496560,50,45.52,-122.67,57.2,10.29
200,touros,92,BR,1521498714,80,-5.2,-35.46,81.8,10.78
201,moerai,32,PF,1521498714,100,-22.43,-151.33,80.99,17.05
202,camabatela,76,AO,1521498715,93,-8.19,15.37,62.45,2.62
203,swan hill,8,AU,1521498715,97,-35.34,143.56,63.26,13.47
204,pisco,0,PE,1521496800,69,-13.71,-76.2,73.4,19.46
205,shingu,100,JP,1521498717,100,33.72,135.99,59.21,17.6
206,gualaquiza,36,EC,1521498717,83,-3.4,-78.58,67.67,1.95
207,lyngseidet,40,NO,1521496200,85,69.58,20.21,21.2,5.82
208,limoeiro do ajuru,48,BR,1521498718,88,-1.9,-49.38,81.53,9.55
209,jumla,0,NP,1521498718,82,29.28,82.18,25.37,2.95
210,cabinda,92,AO,1521498719,100,-5.56,12.19,82.52,4.52
211,vila velha,20,BR,1521496800,78,-3.71,-38.6,82.4,9.17
212,kathmandu,20,NP,1521496200,81,27.71,85.32,53.6,3.36
213,port moresby,75,PG,1521496800,94,-9.47,147.16,75.2,6.93
214,komsomolskiy,48,RU,1521498721,63,67.55,63.78,-22.34,3.29
215,pemberton,20,AU,1521498721,76,-34.44,116.03,64.07,16.49
216,la rioja,0,AR,1521498437,37,-29.41,-66.86,78.02,3.4
217,kushima,75,JP,1521496800,100,31.5,131.29,60.8,6.93
218,batagay-alyta,44,RU,1521498723,62,67.8,130.41,-15.05,3.18
219,airai,0,TL,1521498723,79,-8.93,125.41,75.86,1.72
220,vardo,1,US,1521497700,28,39.62,-77.74,59.0,6.93
221,aswan,0,EG,1521493200,28,24.09,32.9,82.4,9.17
222,karratha,0,AU,1521498725,25,-20.74,116.85,87.65,13.58
223,ampanihy,0,MG,1521498726,96,-24.69,44.75,67.58,3.18
224,pacific grove,1,US,1521496500,36,36.62,-121.92,68.0,10.29
225,hofn,0,IS,1521498726,93,64.25,-15.21,38.06,16.15
226,biak,36,ID,1521498727,99,-0.91,122.88,79.1,1.95
227,saint-philippe,1,CA,1521497700,49,45.36,-73.48,28.4,19.46
228,shevchenkove,0,UA,1521496800,92,49.7,37.18,10.4,2.24
229,kompaniyivka,44,UA,1521498729,86,48.25,32.21,13.58,8.21
230,cabo san lucas,5,MX,1521495900,60,22.89,-109.91,80.6,11.41
231,vrangel,0,RU,1521498730,100,42.73,133.08,22.31,14.47
232,yanam,12,IN,1521498730,85,16.73,82.22,73.43,3.74
233,pundaguitan,88,PH,1521498731,100,6.37,126.17,80.9,6.42
234,estelle,75,US,1521497700,32,32.87,-97.01,69.8,21.92
235,gimli,76,CA,1521498732,93,50.63,-96.99,23.57,4.85
236,port-gentil,20,GA,1521496800,88,-0.72,8.78,78.8,5.97
237,manchester,20,US,1521496560,26,43.0,-71.45,37.4,18.34
238,oktyabrskoye,68,RU,1521498733,69,56.73,85.44,17.0,15.14
239,san quintin,20,PH,1521496800,94,17.54,120.52,71.6,2.24
240,aquiraz,20,BR,1521496800,78,-3.9,-38.39,82.4,9.17
241,gravelbourg,80,CA,1521498734,100,49.88,-106.56,31.49,3.62
242,kieta,68,PG,1521498735,100,-6.22,155.63,80.45,4.74
243,hue,88,VN,1521496800,100,16.47,107.58,71.6,1.12
244,necochea,0,AR,1521498736,87,-38.55,-58.74,56.33,1.72
245,guiratinga,20,BR,1521498736,97,-16.35,-53.76,72.98,2.95
246,nikolskoye,90,RU,1521496800,88,59.7,30.79,32.0,8.95
247,kavieng,20,PG,1521498737,100,-2.57,150.8,83.78,13.91
248,haines junction,20,CA,1521498737,82,60.75,-137.51,29.78,3.18
249,chokurdakh,8,RU,1521498738,61,70.62,147.9,-20.63,7.76
250,hualmay,56,PE,1521498738,78,-11.1,-77.61,70.82,4.29
251,kaili,8,ID,1521498739,70,-3.46,120.21,75.41,2.39
252,florence,20,US,1521497700,88,34.8,-87.68,73.4,5.82
253,reporoa,0,NZ,1521498740,57,-38.44,176.35,70.55,2.95
254,jizan,0,SA,1521496800,69,16.89,42.56,82.4,3.36
255,urusha,0,RU,1521498741,66,54.05,122.9,11.87,2.51
256,naze,40,NG,1521493200,88,5.43,7.07,80.6,5.41
257,port shepstone,64,ZA,1521498742,97,-30.74,30.45,69.74,4.07
258,pyaozerskiy,0,RU,1521498743,68,65.83,31.17,4.85,4.41
259,yaounde,40,CM,1521496800,94,3.87,11.52,71.6,3.51
260,maldonado,0,UY,1521496800,55,-34.91,-54.96,66.2,6.08
261,fort-shevchenko,0,KZ,1521498744,87,44.51,50.26,46.61,12.8
262,novikovo,76,UA,1521498744,99,45.05,34.56,38.15,3.51
263,blagoyevo,80,RU,1521498745,82,63.37,47.92,17.27,4.97
264,linhares,0,BR,1521498746,77,-19.38,-40.06,77.39,10.0
265,yamada,75,JP,1521496800,86,36.58,137.08,41.0,14.99
266,sur,0,OM,1521498747,96,22.57,59.53,73.7,5.53
267,bluefield,75,US,1521497700,36,37.27,-81.22,62.6,3.36
